x	y
0.000000000000000000e+00	7.920000000000000517e-20
2.999483026021023280e-03	5.744000000000000020e-20
5.998966052042046561e-03	4.996000000000000225e-20
9.998276753403412959e-03	4.315999999999999919e-20
1.199810442874375306e-02	4.046999999999999896e-20
1.399793210408409490e-02	3.809000000000000181e-20
1.699724280544545954e-02	3.498000000000000208e-20
1.999655350680682592e-02	3.229000000000000185e-20
2.499569188350853066e-02	2.817999999999999902e-20
2.999483026021023541e-02	2.531999999999999857e-20
3.499396863691194015e-02	2.261000000000000009e-20
3.999310701361365183e-02	2.029000000000000071e-20
4.999138376701706132e-02	1.646999999999999968e-20
5.998966052042047081e-02	1.346999999999999939e-20
6.998793727382388030e-02	1.108000000000000010e-20
7.998621402722730367e-02	9.127999999999999934e-21
8.998793727382389807e-02	7.518999999999999663e-21
9.998276753403412265e-02	6.210999999999999634e-21
1.099775977942443611e-01	5.118999999999999734e-21
1.199810442874375271e-01	4.217999999999999886e-21
1.299758745476477795e-01	3.498000000000000208e-21
1.399793210408409316e-01	2.857999999999999951e-21
1.499741513010511840e-01	2.345999999999999896e-21
1.699724280544545885e-01	1.624000000000000092e-21
1.799672583146648130e-01	1.368000000000000065e-21
1.899707048078580207e-01	1.171000000000000010e-21
1.999655350680682453e-01	1.035000000000000054e-21
2.099603653282784976e-01	9.409999999999999350e-22
2.199638118214716498e-01	8.860000000000000275e-22
2.299586420816819021e-01	8.669999999999999535e-22
2.399620885748750543e-01	8.780000000000000855e-22
2.499569188350853066e-01	9.169999999999999207e-22
2.599517490952955590e-01	9.780000000000000198e-22
2.699551955884886834e-01	1.059999999999999943e-21
2.799500258486989357e-01	1.160999999999999941e-21
2.999483026021023679e-01	1.406000000000000025e-21
3.499396863691194293e-01	2.206000000000000063e-21
3.999310701361364906e-01	3.152000000000000127e-21
4.999138376701706132e-01	5.168999999999999889e-21
6.998793727382388585e-01	8.955999999999999580e-21
7.998621402722729812e-01	1.068000000000000036e-20
9.998276753403412265e-01	1.402999999999999872e-20
1.199810442874375216e+00	1.660000000000000038e-20
1.499741513010511840e+00	2.050000000000000046e-20
1.699724280544545829e+00	2.330000000000000012e-20
1.999655350680682453e+00	2.699999999999999957e-20
2.499569188350852844e+00	3.430000000000000117e-20
2.999483026021023679e+00	4.100000000000000091e-20
3.999310701361364906e+00	5.399999999999999914e-20
4.999138376701705688e+00	7.000000000000000067e-20
5.998966052042047359e+00	8.600000000000000220e-20
6.998793727382388141e+00	1.020000000000000037e-19
7.998621402722729812e+00	1.229999999999999907e-19
9.998276753403411377e+00	1.579999999999999971e-19
1.199810442874375305e+01	1.649999999999999887e-19
1.699724280544545962e+01	1.309999999999999915e-19
1.999655350680682275e+01	1.149999999999999899e-19
2.499569188350853111e+01	9.000000000000000259e-20
2.999483026021023591e+01	7.199999999999999485e-20
7.498707565052559687e+01	3.500000000000000034e-20
